Study_Hours,Attendance,Previous_Score,Extracurricular,Sleep_Hours,Semester,Final_Score,Pass
3.9404795924659224,88.30335816544246,66.89149425015157,0,7.421737849049899,Fall 2024,48.03,0
2.925507691347087,97.97686526849523,94.73804291963677,1,6.343983898495281,Fall 2023,66.45,1
3.124349920169754,86.0600995134564,70.48710029444659,0,6.804648512713247,Fall 2024,14.25,0
4.855979756839332,59.61875464822146,54.46382229134913,1,7.787080931835713,Fall 2024,34.06,0
6.008093031035688,94.4376460407326,100.0,1,7.490383373776805,Fall 2023,80.97,1
2.8845781420881993,67.88983800237543,77.76635127643289,0,7.117579784165074,Fall 2022,26.99,0
4.119911026606032,73.73032942212232,61.1736406889228,1,5.997828518043972,Spring 2023,46.0,0
7.959888277780052,59.58265131575709,100.0,1,5.7952511535022015,Spring 2024,39.57,0
6.372102919996879,83.7721187506452,56.7614996113398,0,6.571564959032068,Spring 2024,61.74,1
5.733196492193697,64.74474829075261,63.65659981900292,1,7.820283187840573,Fall 2023,51.25,0
6.926752258488643,72.87154217322836,82.27084518411569,1,8.158476981509406,Fall 2022,64.79,1
4.422682722159723,84.71415556386404,74.70164806483056,0,5.714735584421142,Spring 2024,43.84,0
6.627019272001277,81.96554776511574,76.69372367622235,0,6.703569159104804,Spring 2023,64.98,1
7.707744748330826,81.46713686433323,58.340631537872184,1,7.300240247502034,Spring 2023,55.08,0
10.0,64.16097176514276,59.3500938663748,0,7.039356394493904,Fall 2022,73.32,1
6.763279513898901,80.26885838994531,85.15100924112619,1,5.260425736361764,Spring 2024,40.07,0
5.346361851702364,85.93101257968384,50.884075197619964,0,7.45169143131702,Fall 2023,53.86,0
3.465304874223901,97.94557863517788,67.48811587417761,1,6.186922417197214,Spring 2025,51.98,0
6.574169207484904,74.53141058759608,97.4913108710889,0,6.838865005376435,Spring 2025,80.63,1
5.464507394322007,68.9347409125833,54.12292247911002,0,7.232307893641053,Fall 2022,39.91,0
8.26482260786327,79.65011509503039,68.6652872638156,0,6.616182972094188,Spring 2024,62.34,1
4.96297372801522,71.67644426895771,63.44506662097021,0,8.482938630186585,Fall 2024,45.1,0
5.02518480156359,83.34456789987026,58.80078449112165,0,7.04098290098563,Spring 2025,53.38,0
5.715574720696567,74.7727697948096,71.5026940317749,0,5.919255118422558,Fall 2024,34.59,0
6.731510388340243,80.26091050210833,57.822919231685596,0,5.028173426614999,Fall 2022,40.36,0
6.290751899170295,91.95046628924842,57.4622896717476,0,6.647239662802981,Fall 2022,65.78,1
3.3215649535547227,75.12393775927507,69.69335114810265,0,7.625346914055206,Spring 2023,47.73,0
4.531693250553328,73.49357430878173,78.37867976336308,0,9.07901799938211,Spring 2023,55.11,0
6.62572423767792,80.28318376130461,73.20870776886284,1,5.852276347818389,Fall 2024,35.03,0
3.571297163947264,80.59218434014488,82.11780507211161,1,6.835153853920724,Fall 2024,34.21,0
5.366684011476703,82.23787951638899,82.47885624875292,1,5.822601362632382,Spring 2024,65.76,1
8.77237180242106,72.26210800896428,77.35328686075084,0,6.077029180255242,Spring 2024,61.13,1
5.586144946597362,100.0,89.70418192163643,1,8.021077554601566,Fall 2024,62.79,1
9.380911251619956,74.88784323568815,56.243855283775744,0,5.831744560354638,Fall 2024,55.19,0
7.614285508564857,96.69021525289392,86.50848175973942,0,6.988839614633663,Spring 2025,85.74,1
8.510681684886409,69.73484700588939,82.87008804771763,0,6.5354803570307185,Spring 2024,80.71,1
3.972266165326613,79.54413983644503,84.85939685720362,0,8.45433278246368,Spring 2025,48.53,0
3.7546009603588124,63.39039066484008,44.165312884570206,0,6.2056213866440695,Spring 2024,39.56,0
3.5958938122452953,84.78979825746391,78.73155452364375,0,6.804319643267483,Spring 2025,31.64,0
8.046248154539315,69.98379990105084,88.50531943081451,0,6.133914935995296,Fall 2022,65.15,1
3.3205563156384477,100.0,78.13511045607123,0,7.9400686111391146,Spring 2025,79.12,1
2.5994071858884475,85.17659020469122,62.20866945920791,0,6.7889747146815145,Fall 2023,34.39,0
5.522110544359778,70.21236284217693,46.02159178561471,1,6.630446164433152,Fall 2022,47.32,0
5.5939693464663724,86.96206364813418,59.836463820180064,0,6.016890568334203,Fall 2024,43.58,0
8.530908480562193,73.88482197008052,72.80543094148898,1,5.487802281792904,Fall 2024,54.57,0
4.470686333524088,89.35678393147461,58.13690671418899,1,6.3393557806100995,Spring 2024,56.68,0
2.929515355161252,84.56753219153784,74.57390061859333,0,8.33522604998791,Fall 2023,53.58,0
5.592240554129152,77.30125064706628,70.94362228379309,0,6.0490960948000465,Fall 2023,44.21,0
6.476933159990821,88.35692112065142,90.20713229749443,0,7.4525204726826235,Spring 2023,51.65,0
5.4899331422174455,68.77277978437701,75.24325803695619,0,6.77305553106756,Spring 2025,36.19,0
8.065477826005155,64.84255885002769,76.95149799521306,0,7.383582191102772,Spring 2024,64.66,1
2.504433636070301,72.96823574874112,53.03542603714024,0,6.908858771628973,Fall 2024,38.92,0
5.768130897878614,67.19695601329106,77.95457522400895,0,6.425395052789915,Spring 2025,54.78,0
6.267838044636022,84.72597482413043,89.6694016653288,0,7.0610652422272215,Fall 2024,57.0,0
7.733748534889049,73.4737602069761,70.17625833675037,0,7.312336607899463,Fall 2023,72.98,1
4.050109377678088,81.86766764477078,70.40900161911071,0,7.025063785955155,Fall 2024,33.7,0
3.050636659545357,74.26337993119763,40.00713142151712,0,4.073419410068285,Spring 2023,13.4,0
